Province,Gender,Age,Income,Value
Quebec,Males,65 years and over,"Persons with income of $100,000 and over (5)",22900
Quebec,Males,65 years and over,"Persons with income of $150,000 and over (5)",10990
Quebec,Males,65 years and over,"Persons with income of $200,000 and over (5)",6650
Quebec,Males,65 years and over,"Persons with income of $250,000 and over (5)",4510
Quebec,Females,"All age groups (4,10)",Total persons with income (5),3218930
Quebec,Females,"All age groups (4,10)","Persons with income under $5,000 (5)",224420
Quebec,Females,"All age groups (4,10)","Persons with income of $5,000 and over (5)",2994510
Quebec,Females,"All age groups (4,10)","Persons with income of $10,000 and over (5)",2728470
Quebec,Females,"All age groups (4,10)","Persons with income of $15,000 and over (5)",2354170
Quebec,Females,"All age groups (4,10)","Persons with income of $20,000 and over (5)",1928730
Quebec,Females,"All age groups (4,10)","Persons with income of $25,000 and over (5)",1609550
Quebec,Females,"All age groups (4,10)","Persons with income of $35,000 and over (5)",1135770
Quebec,Females,"All age groups (4,10)","Persons with income of $50,000 and over (5)",591860
Quebec,Females,"All age groups (4,10)","Persons with income of $75,000 and over (5)",197350
Quebec,Females,"All age groups (4,10)","Persons with income of $100,000 and over (5)",77540
Quebec,Females,"All age groups (4,10)","Persons with income of $150,000 and over (5)",24750
Quebec,Females,"All age groups (4,10)","Persons with income of $200,000 and over (5)",12300
Quebec,Females,"All age groups (4,10)","Persons with income of $250,000 and over (5)",7220
Quebec,Females,"0 to 24 years (4,10)",Total persons with income (5),367820
Quebec,Females,"0 to 24 years (4,10)","Persons with income under $5,000 (5)",73910
Quebec,Females,"0 to 24 years (4,10)","Persons with income of $5,000 and over (5)",293910
Quebec,Females,"0 to 24 years (4,10)","Persons with income of $10,000 and over (5)",212700
Quebec,Females,"0 to 24 years (4,10)","Persons with income of $15,000 and over (5)",136920
Quebec,Females,"0 to 24 years (4,10)","Persons with income of $20,000 and over (5)",84030
Quebec,Females,"0 to 24 years (4,10)","Persons with income of $25,000 and over (5)",52540
Quebec,Females,"0 to 24 years (4,10)","Persons with income of $35,000 and over (5)",20120
Quebec,Females,"0 to 24 years (4,10)","Persons with income of $50,000 and over (5)",4430
Quebec,Females,"0 to 24 years (4,10)","Persons with income of $75,000 and over (5)",570
Quebec,Females,"0 to 24 years (4,10)","Persons with income of $100,000 and over (5)",190
Quebec,Females,"0 to 24 years (4,10)","Persons with income of $150,000 and over (5)",40
Quebec,Females,"0 to 24 years (4,10)","Persons with income of $200,000 and over (5)",20
Quebec,Females,"0 to 24 years (4,10)","Persons with income of $250,000 and over (5)",20
Quebec,Females,25 to 34 years (4),Total persons with income (5),499500
Quebec,Females,25 to 34 years (4),"Persons with income under $5,000 (5)",24940
Quebec,Females,25 to 34 years (4),"Persons with income of $5,000 and over (5)",474560
Quebec,Females,25 to 34 years (4),"Persons with income of $10,000 and over (5)",444200
Quebec,Females,25 to 34 years (4),"Persons with income of $15,000 and over (5)",404820
Quebec,Females,25 to 34 years (4),"Persons with income of $20,000 and over (5)",361760
Quebec,Females,25 to 34 years (4),"Persons with income of $25,000 and over (5)",314800
Quebec,Females,25 to 34 years (4),"Persons with income of $35,000 and over (5)",217480
Quebec,Females,25 to 34 years (4),"Persons with income of $50,000 and over (5)",95970
Quebec,Females,25 to 34 years (4),"Persons with income of $75,000 and over (5)",19450
Quebec,Females,25 to 34 years (4),"Persons with income of $100,000 and over (5)",6030
Quebec,Females,25 to 34 years (4),"Persons with income of $150,000 and over (5)",1680
Quebec,Females,25 to 34 years (4),"Persons with income of $200,000 and over (5)",840
Quebec,Females,25 to 34 years (4),"Persons with income of $250,000 and over (5)",460
Quebec,Females,35 to 44 years (4),Total persons with income (5),504760
Quebec,Females,35 to 44 years (4),"Persons with income under $5,000 (5)",23140
Quebec,Females,35 to 44 years (4),"Persons with income of $5,000 and over (5)",481620
Quebec,Females,35 to 44 years (4),"Persons with income of $10,000 and over (5)",454530
Quebec,Females,35 to 44 years (4),"Persons with income of $15,000 and over (5)",420450
Quebec,Females,35 to 44 years (4),"Persons with income of $20,000 and over (5)",385930
Quebec,Females,35 to 44 years (4),"Persons with income of $25,000 and over (5)",348000
Quebec,Females,35 to 44 years (4),"Persons with income of $35,000 and over (5)",269870
Quebec,Females,35 to 44 years (4),"Persons with income of $50,000 and over (5)",157760
Quebec,Females,35 to 44 years (4),"Persons with income of $75,000 and over (5)",53910
Quebec,Females,35 to 44 years (4),"Persons with income of $100,000 and over (5)",18880
Quebec,Females,35 to 44 years (4),"Persons with income of $150,000 and over (5)",5460
Quebec,Females,35 to 44 years (4),"Persons with income of $200,000 and over (5)",2650
Quebec,Females,35 to 44 years (4),"Persons with income of $250,000 and over (5)",1530
Quebec,Females,45 to 54 years (4),Total persons with income (5),589340
Quebec,Females,45 to 54 years (4),"Persons with income under $5,000 (5)",38000
Quebec,Females,45 to 54 years (4),"Persons with income of $5,000 and over (5)",551340
Quebec,Females,45 to 54 years (4),"Persons with income of $10,000 and over (5)",516610
Quebec,Females,45 to 54 years (4),"Persons with income of $15,000 and over (5)",469960
Quebec,Females,45 to 54 years (4),"Persons with income of $20,000 and over (5)",428230
Quebec,Females,45 to 54 years (4),"Persons with income of $25,000 and over (5)",382720
Quebec,Females,45 to 54 years (4),"Persons with income of $35,000 and over (5)",293270
Quebec,Females,45 to 54 years (4),"Persons with income of $50,000 and over (5)",172390
Quebec,Females,45 to 54 years (4),"Persons with income of $75,000 and over (5)",68080
Quebec,Females,45 to 54 years (4),"Persons with income of $100,000 and over (5)",27680
Quebec,Females,45 to 54 years (4),"Persons with income of $150,000 and over (5)",8660
Quebec,Females,45 to 54 years (4),"Persons with income of $200,000 and over (5)",4210
Quebec,Females,45 to 54 years (4),"Persons with income of $250,000 and over (5)",2430
Quebec,Females,55 to 64 years (4),Total persons with income (5),535030
Quebec,Females,55 to 64 years (4),"Persons with income under $5,000 (5)",58860
Quebec,Females,55 to 64 years (4),"Persons with income of $5,000 and over (5)",476170
Quebec,Females,55 to 64 years (4),"Persons with income of $10,000 and over (5)",426700
Quebec,Females,55 to 64 years (4),"Persons with income of $15,000 and over (5)",365230
Quebec,Females,55 to 64 years (4),"Persons with income of $20,000 and over (5)",322930
Quebec,Females,55 to 64 years (4),"Persons with income of $25,000 and over (5)",280800
Quebec,Females,55 to 64 years (4),"Persons with income of $35,000 and over (5)",199980
Quebec,Females,55 to 64 years (4),"Persons with income of $50,000 and over (5)",104840
Quebec,Females,55 to 64 years (4),"Persons with income of $75,000 and over (5)",37360
Quebec,Females,55 to 64 years (4),"Persons with income of $100,000 and over (5)",16020
Quebec,Females,55 to 64 years (4),"Persons with income of $150,000 and over (5)",5230
Quebec,Females,55 to 64 years (4),"Persons with income of $200,000 and over (5)",2540
Quebec,Females,55 to 64 years (4),"Persons with income of $250,000 and over (5)",1490
Quebec,Females,65 years and over,Total persons with income (5),722480
Quebec,Females,65 years and over,"Persons with income under $5,000 (5)",5570
Quebec,Females,65 years and over,"Persons with income of $5,000 and over (5)",716910
Quebec,Females,65 years and over,"Persons with income of $10,000 and over (5)",673730
Quebec,Females,65 years and over,"Persons with income of $15,000 and over (5)",556800
Quebec,Females,65 years and over,"Persons with income of $20,000 and over (5)",345860
Quebec,Females,65 years and over,"Persons with income of $25,000 and over (5)",230690
Quebec,Females,65 years and over,"Persons with income of $35,000 and over (5)",135040
Quebec,Females,65 years and over,"Persons with income of $50,000 and over (5)",56470
Quebec,Females,65 years and over,"Persons with income of $75,000 and over (5)",17990
Quebec,Females,65 years and over,"Persons with income of $100,000 and over (5)",8730
Quebec,Females,65 years and over,"Persons with income of $150,000 and over (5)",3680
Quebec,Females,65 years and over,"Persons with income of $200,000 and over (5)",2050
Quebec,Females,65 years and over,"Persons with income of $250,000 and over (5)",1300
Ontario,Both sexes,"All age groups (4,10)",Total persons with income (5),9743420
Ontario,Both sexes,"All age groups (4,10)","Persons with income under $5,000 (5)",799690
Ontario,Both sexes,"All age groups (4,10)","Persons with income of $5,000 and over (5)",8943730
Ontario,Both sexes,"All age groups (4,10)","Persons with income of $10,000 and over (5)",8245590
Ontario,Both sexes,"All age groups (4,10)","Persons with income of $15,000 and over (5)",7322660
Ontario,Both sexes,"All age groups (4,10)","Persons with income of $20,000 and over (5)",6416620
Ontario,Both sexes,"All age groups (4,10)","Persons with income of $25,000 and over (5)",5645750
Ontario,Both sexes,"All age groups (4,10)","Persons with income of $35,000 and over (5)",4460560
Ontario,Both sexes,"All age groups (4,10)","Persons with income of $50,000 and over (5)",2972470
Ontario,Both sexes,"All age groups (4,10)","Persons with income of $75,000 and over (5)",1487700
Ontario,Both sexes,"All age groups (4,10)","Persons with income of $100,000 and over (5)",707620
Ontario,Both sexes,"All age groups (4,10)","Persons with income of $150,000 and over (5)",246520
Ontario,Both sexes,"All age groups (4,10)","Persons with income of $200,000 and over (5)",128140
Ontario,Both sexes,"All age groups (4,10)","Persons with income of $250,000 and over (5)",81210
Ontario,Both sexes,"0 to 24 years (4,10)",Total persons with income (5),1177610
Ontario,Both sexes,"0 to 24 years (4,10)","Persons with income under $5,000 (5)",308960
Ontario,Both sexes,"0 to 24 years (4,10)","Persons with income of $5,000 and over (5)",868660
Ontario,Both sexes,"0 to 24 years (4,10)","Persons with income of $10,000 and over (5)",622100
Ontario,Both sexes,"0 to 24 years (4,10)","Persons with income of $15,000 and over (5)",410570
Ontario,Both sexes,"0 to 24 years (4,10)","Persons with income of $20,000 and over (5)",278060
Ontario,Both sexes,"0 to 24 years (4,10)","Persons with income of $25,000 and over (5)",194080
Ontario,Both sexes,"0 to 24 years (4,10)","Persons with income of $35,000 and over (5)",96850
Ontario,Both sexes,"0 to 24 years (4,10)","Persons with income of $50,000 and over (5)",34940
Ontario,Both sexes,"0 to 24 years (4,10)","Persons with income of $75,000 and over (5)",7000
Ontario,Both sexes,"0 to 24 years (4,10)","Persons with income of $100,000 and over (5)",2270
Ontario,Both sexes,"0 to 24 years (4,10)","Persons with income of $150,000 and over (5)",460
Ontario,Both sexes,"0 to 24 years (4,10)","Persons with income of $200,000 and over (5)",170
Ontario,Both sexes,"0 to 24 years (4,10)","Persons with income of $250,000 and over (5)",90
Ontario,Both sexes,25 to 34 years (4),Total persons with income (5),1563730
Ontario,Both sexes,25 to 34 years (4),"Persons with income under $5,000 (5)",114570
Ontario,Both sexes,25 to 34 years (4),"Persons with income of $5,000 and over (5)",1449160
Ontario,Both sexes,25 to 34 years (4),"Persons with income of $10,000 and over (5)",1345000
Ontario,Both sexes,25 to 34 years (4),"Persons with income of $15,000 and over (5)",1210520
Ontario,Both sexes,25 to 34 years (4),"Persons with income of $20,000 and over (5)",1083390
Ontario,Both sexes,25 to 34 years (4),"Persons with income of $25,000 and over (5)",961600
Ontario,Both sexes,25 to 34 years (4),"Persons with income of $35,000 and over (5)",735130
Ontario,Both sexes,25 to 34 years (4),"Persons with income of $50,000 and over (5)",441560
Ontario,Both sexes,25 to 34 years (4),"Persons with income of $75,000 and over (5)",160720
Ontario,Both sexes,25 to 34 years (4),"Persons with income of $100,000 and over (5)",52210
Ontario,Both sexes,25 to 34 years (4),"Persons with income of $150,000 and over (5)",11110
Ontario,Both sexes,25 to 34 years (4),"Persons with income of $200,000 and over (5)",4440
Ontario,Both sexes,25 to 34 years (4),"Persons with income of $250,000 and over (5)",2320
Ontario,Both sexes,35 to 44 years (4),Total persons with income (5),1671480
Ontario,Both sexes,35 to 44 years (4),"Persons with income under $5,000 (5)",104150
Ontario,Both sexes,35 to 44 years (4),"Persons with income of $5,000 and over (5)",1567330
Ontario,Both sexes,35 to 44 years (4),"Persons with income of $10,000 and over (5)",1481240
Ontario,Both sexes,35 to 44 years (4),"Persons with income of $15,000 and over (5)",1370370
Ontario,Both sexes,35 to 44 years (4),"Persons with income of $20,000 and over (5)",1269620
Ontario,Both sexes,35 to 44 years (4),"Persons with income of $25,000 and over (5)",1169830
Ontario,Both sexes,35 to 44 years (4),"Persons with income of $35,000 and over (5)",982830
